令和３年経済センサス‐活動調査　事業所に関する集計－産業横断的集計－事業所数、従業者数,,,,,,,,,
第６－１表　産業(中分類)別民営事業所数、男女別従業者数、常用雇用者数、出向・派遣従業者数及び事業従事者数－全国、都道府県、市区町村,,,,,,,,,
,,,,,,,,,
1) 「従業者数_男女計」など、男女計の人数には男女の別「不詳」を含む,,,,,,,,,
2) 他からの出向・派遣従業者数：出向・派遣の別「不詳」を含む,,,,,,,,,
3) 事業従事者数＝「従業者数」－「うち他への出向・派遣従業者数」＋「他からの出向・派遣従業者数」,,,,,,,,,
,,,,,事業所数,従業者数_男女計,従業者数_男,従業者数_女,従業者数_うち常用雇用者_男女計
,,,,,(事業所),(人),(人),(人),(人)
地域識別コード,地域区分,階層,産業大分類,産業中分類, ,,,,
2,35202_宇部市,2,L,L_学術研究，専門・技術サービス業,258,"1,931","1,256",665,"1,566"
2,35202_宇部市,4,L,71_学術・開発研究機関,17,515,435,80,502
2,35202_宇部市,4,L,72_専門サービス業（他に分類されないもの）,113,538,224,314,381
2,35202_宇部市,4,L,73_広告業,7,35,19,16,29
2,35202_宇部市,4,L,74_技術サービス業（他に分類されないもの）,121,843,578,255,654
2,35202_宇部市,2,M,M_宿泊業，飲食サービス業,702,"5,583","2,042","3,416","4,707"
2,35202_宇部市,3,M1,M1_宿泊業,33,639,246,393,614
2,35202_宇部市,4,M1,75_宿泊業,33,639,246,393,614
2,35202_宇部市,3,M2,M2_飲食店，持ち帰り・配達飲食サービス業,669,"4,944","1,796","3,023","4,093"
2,35202_宇部市,4,M2,76_飲食店,592,"4,038","1,566","2,347","3,234"
2,35202_宇部市,4,M2,77_持ち帰り・配達飲食サービス業,77,906,230,676,859
2,35202_宇部市,2,N,N_生活関連サービス業，娯楽業,641,"2,409","1,062","1,347","1,704"
2,35202_宇部市,4,N,78_洗濯・理容・美容・浴場業,489,"1,391",529,862,849
2,35202_宇部市,4,N,79_その他の生活関連サービス業,77,320,144,176,215
2,35202_宇部市,4,N,80_娯楽業,75,698,389,309,640
2,35202_宇部市,2,O,O_教育，学習支援業,199,"2,740","1,330","1,410","2,547"
2,35202_宇部市,3,O1,O1_教育，学習支援業（学校教育）,32,"1,983",977,"1,006","1,961"
2,35202_宇部市,4,O1,81_学校教育,32,"1,983",977,"1,006","1,961"
2,35202_宇部市,3,O2,O2_教育，学習支援業（その他の教育，学習支援業）,167,757,353,404,586
2,35202_宇部市,4,O2,82_その他の教育，学習支援業,167,757,353,404,586
2,35202_宇部市,2,P,P_医療，福祉,616,"14,563","3,668","10,892","13,471"
2,35202_宇部市,4,P,83_医療業,333,"8,884","2,295","6,586","8,222"
2,35202_宇部市,4,P,84_保健衛生,6,92,43,49,47
2,35202_宇部市,4,P,85_社会保険・社会福祉・介護事業,277,"5,587","1,330","4,257","5,202"
2,35202_宇部市,2,Q,Q_複合サービス事業,44,705,443,262,605
2,35202_宇部市,3,Q1,Q1_複合サービス事業（郵便局）,30,458,307,151,453
2,35202_宇部市,4,Q1,86_郵便局,30,458,307,151,453
2,35202_宇部市,3,Q2,Q2_複合サービス事業（協同組合）,14,247,136,111,152
2,35202_宇部市,4,Q2,87_協同組合（他に分類されないもの）,14,247,136,111,152
2,35202_宇部市,2,R,R_サービス業（他に分類されないもの）,474,"4,623","2,489","2,133","4,103"
2,35202_宇部市,3,R1,R1_サービス業（政治・経済・文化団体，宗教）,229,552,333,218,354
2,35202_宇部市,4,R1,93_政治・経済・文化団体,83,232,128,104,184
2,35202_宇部市,4,R1,94_宗教,146,320,205,114,170
2,35202_宇部市,3,R2,R2_サービス業（政治・経済・文化団体，宗教を除く）,245,"4,071","2,156","1,915","3,749"
2,35202_宇部市,4,R2,88_廃棄物処理業,41,485,366,119,408
2,35202_宇部市,4,R2,89_自動車整備業,46,165,131,34,106
2,35202_宇部市,4,R2,90_機械等修理業（別掲を除く）,33,151,129,22,122
2,35202_宇部市,4,R2,91_職業紹介・労働者派遣業,25,948,541,407,906
2,35202_宇部市,4,R2,92_その他の事業サービス業,96,"2,280",967,"1,313","2,167"
2,35202_宇部市,4,R2,95_その他のサービス業,4,42,22,20,40
2,35203_山口市,1,AR,AR_全産業（S_公務を除く）,"8,125","90,117","44,476","40,647","79,417"
2,35203_山口市,1,AB,AB_農林漁業,126,"1,401","1,042",359,755
2,35203_山口市,2,A,A_農業，林業,119,"1,354","1,008",346,726
2,35203_山口市,4,A,01_農業,110,"1,199",879,320,612
2,35203_山口市,4,A,02_林業,9,155,129,26,114
2,35203_山口市,2,B,B_漁業,7,47,34,13,29
2,35203_山口市,4,B,03_漁業（水産養殖業を除く）,-,-,-,-,-
2,35203_山口市,4,B,04_水産養殖業,7,47,34,13,29
2,35203_山口市,1,CR,CR_非農林漁業（S_公務を除く）,"7,999","88,716","43,434","40,288","78,662"
2,35203_山口市,2,C,C_鉱業，採石業，砂利採取業,8,46,34,12,30
2,35203_山口市,4,C,05_鉱業，採石業，砂利採取業,8,46,34,12,30
2,35203_山口市,2,D,D_建設業,758,"6,197","4,976","1,213","5,020"
2,35203_山口市,4,D,06_総合工事業,377,"3,691","2,965",718,"3,117"
2,35203_山口市,4,D,07_職別工事業（設備工事業を除く）,202,"1,099",846,253,743
2,35203_山口市,4,D,08_設備工事業,179,"1,407","1,165",242,"1,160"
2,35203_山口市,2,E,E_製造業,284,"7,655","5,000","2,655","7,119"
2,35203_山口市,4,E,09_食料品製造業,56,"1,988",872,"1,116","1,760"
2,35203_山口市,4,E,10_飲料・たばこ・飼料製造業,9,466,399,67,455
2,35203_山口市,4,E,11_繊維工業,16,226,82,144,210
2,35203_山口市,4,E,12_木材・木製品製造業（家具を除く）,19,322,269,53,301
2,35203_山口市,4,E,13_家具・装備品製造業,20,125,90,35,90
2,35203_山口市,4,E,14_パルプ・紙・紙加工品製造業,6,172,110,62,162
2,35203_山口市,4,E,15_印刷・同関連業,24,324,187,137,271
2,35203_山口市,4,E,16_化学工業,5,161,112,49,157
2,35203_山口市,4,E,17_石油製品・石炭製品製造業,2,14,11,3,13
2,35203_山口市,4,E,18_プラスチック製品製造業（別掲を除く）,6,365,198,167,361
2,35203_山口市,4,E,19_ゴム製品製造業,1,99,77,22,98
2,35203_山口市,4,E,20_なめし革・同製品・毛皮製造業,-,-,-,-,-
2,35203_山口市,4,E,21_窯業・土石製品製造業,31,353,299,54,319
2,35203_山口市,4,E,22_鉄鋼業,2,20,16,4,19
2,35203_山口市,4,E,23_非鉄金属製造業,1,11,3,8,10
2,35203_山口市,4,E,24_金属製品製造業,32,837,664,173,810
2,35203_山口市,4,E,25_はん用機械器具製造業,-,-,-,-,-
2,35203_山口市,4,E,26_生産用機械器具製造業,7,96,87,9,91
